
prices,Price levels
City;without_rent,Excluding rent;with_rent,Including rent
São Paulo 12600 10400 39
Seoul 41600 29400 43
Shanghai 9200 7900 43
Sofia 9300 7300 43
Stockholm 44300 33300 40
Sydney 72000 55800 43
Taipei 24700 22500 42
Tallinn 17900 14000 40
Tel Aviv 25000 21400 42
Tokyo 77700 61000 40
Toronto 44300 29900 38
Vienna 56200 33800 41
Vilnius 17700 13500 40
Warsaw 13200 9500 40
Zurich 79800 64600 42



Income: bus drivers
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 39200 27800 39
Athens 23300 18300 40
Auckland 31500 26400 40
Bangkok 8400 7800 46
Barcelona 34100 25500 40
Beijing 7000 6100 48
Berlin 38600 28100 40
Bogotá 7600 7300 48
Bratislava 14100 11000 43
Brussels 36500 21600 37
Bucharest 7500 5400 44
Budapest 11500 8800 41
Buenos Aires 16300 13600 47
Cairo 1400 1200 48
Caracas 5400 5100 40
Chicago 52100 38900 39
Copenhagen 56300 35000 38
Delhi 2500 2200 51
Doha 10400 10400 60
Dubai 16300 16300 39
Dublin 45500 37600 38
Frankfurt 33300 26400 41
Geneva 77400 57500 40
Helsinki 42200 30700 39
Hong Kong 20100 18300 51
Istanbul 14600 11100 48
Jakarta 2600 2500 47
Johannesburg 11900 9200 28
Kiev 5300 4300 40
Kuala Lumpur 8300 7300 47
Lima 6200 5700 45
Lisbon 22500 17200 38
Ljubljana 15000 11500 40
London 44400 32200 38
Los Angeles 60200 49000 39
Luxembourg 93900 78900 40
Lyon 30300 23200 36
Madrid 25400 20200 40
Manama 10900 10900 51
Manila 2500 2200 63
Mexico City 3800 3500 50
Miami 30600 22400 40
Milan 36500 25800 36
Montreal 48700 34300 37
Moscow 18600 16300 41
Mumbai 3200 3100 60
Munich 40000 26800 39
Nairobi 3100 2200 48
New York 57200 46000 40
Nicosia 24700 21800 40
Oslo 60000 38600 37
Paris 32800 25300 35
Prague 16200 13100 40
Riga 13700 9600 40
Rio de Janeiro 9800 8200 44
Rome 33500 24500 40
Santiago de Chile 10000 7900 47
São Paulo 11300 9600 41
Seoul 43600 29500 60
Shanghai 8500 7100 40
Sofia 7300 5700 45
Stockholm 41300 31200 40
Sydney 41800 36100 40
Taipei 23200 21400 60
Tallinn 17700 12400 40
Tel Aviv 26500 21900 42
Tokyo 56300 41800 43
Toronto 36700 23400 33
Vienna 42900 30400 38
Vilnius 12200 9200 40
Warsaw 10000 7300 40
Zurich 90700 73300 42



Income: car mechanics
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 26300 20100 39
Athens 18500 14800 43
Auckland 36500 30300 42
Bangkok 11100 10400 50
Barcelona 29100 25800 40
Beijing 8500 7100 40
Berlin 35500 25100 37
Bogotá 8400 7500 45
Bratislava 11300 8800 42
Brussels 38200 22400 38
Bucharest 9500 6300 43
Budapest 9300 6500 43
Buenos Aires 11900 9800 45
Cairo 2700 2300 60
Caracas 10900 10400 40
Chicago 44000 36900 40
Copenhagen 68400 39900 38
Delhi 1900 1900 51
Doha 9800 9800 48
Dubai 14200 14200 48
Dublin 38300 30200 39
Frankfurt 40400 27100 38
Geneva 61900 46600 40
Helsinki 38200 28500 38
Hong Kong 20100 18100 52
Istanbul 13500 10200 48
Jakarta 2200 2100 46
Johannesburg 21000 15200 45
Kiev 6500 5200 43
Kuala Lumpur 10700 9200 49
Lima 7600 6500 45
Lisbon 19700 15700 40
Ljubljana 18100 12600 40
London 40900 29800 39
Los Angeles 42100 30200 40
Luxembourg 38900 31500 40
Lyon 26200 20600 37
Madrid 20500 18900 41
Manama 9200 9200 47
Manila 2700 2100 48
Mexico City 3400 3100 50
Miami 40700 29900 42
Milan 29400 20600 37
Montreal 43800 29300 36
Moscow 15800 13900 41
Mumbai 2100 2100 70
Munich 37300 23300 37
Nairobi 2600 1900 59
New York 50000 39500 43
Nicosia 28600 25600 38
Oslo 78200 49700 39
Paris 28000 21000 35
Prague 13600 10600 40
Riga 15500 10500 40
Rio de Janeiro 14200 12300 44
Rome 22900 16400 43
Santiago de Chile 11000 8500 44
São Paulo 12600 11000 40
Seoul 11700 9500 71
Shanghai 9300 8000 40
Sofia 7500 5800 43
Stockholm 41300 31200 40
Sydney 39400 34400 41
Taipei 16700 15300 47
Tallinn 21200 15800 40
Tel Aviv 18900 15800 43
Tokyo 54000 39600 44
Toronto 33300 24100 35
Vienna 34100 24900 40
Vilnius 13900 10600 40
Warsaw 12600 8900 40
Zurich 68900 56500 42



Income: call center agents
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 27700 20500 38
Athens 16300 13000 40
Auckland 27500 23100 40
Bangkok 6500 6200 43
Barcelona 28000 21800 40
Beijing 7600 6200 40
Berlin 28100 21200 41
Bogotá 5300 5100 45
Bratislava 16400 12200 42
Brussels 36000 21800 38
Bucharest 5300 3600 43
Budapest 8900 6300 43
Buenos Aires 10400 8500 35
Cairo 3100 2700 45
Caracas 6700 6300 40
Chicago 38700 28400 39
Copenhagen 42200 26300 38
Delhi 4000 3600 38
Doha 11500 11500 40
Dubai 19600 19600 44
Dublin 28800 23400 36
Frankfurt 29100 21100 40
Geneva 61800 48200 40
Helsinki 35600 27200 38
Hong Kong 19000 17600 49
Istanbul 9300 7500 48
Jakarta 3200 3000 41
Johannesburg 6600 6200 44
Kiev 3900 3200 40
Kuala Lumpur 7100 5800 40
Lima 8300 7400 44
Lisbon 14900 12200 35
Ljubljana 17900 12600 40
London 27100 21000 39
Los Angeles 45700 32800 40
Luxembourg 37200 30200 40
Lyon 24700 19700 36
Madrid 25600 21100 37
Manama 14400 9200 44
Manila 4800 3900 43
Mexico City 14600 12300 49
Miami 37700 28900 40
Milan 23200 16600 37
Montreal 32000 21800 36
Moscow 10000 8700 40
Mumbai 4800 4700 48
Munich 30200 19900 38
Nairobi 4900 3600 45
New York 41700 32800 40
Nicosia 21100 18600 40
Oslo 46500 35600 39
Paris 25600 19300 35
Prague 10500 8500 40
Riga 13000 8700 40
Rio de Janeiro 7500 6600 38
Rome 13200 10700 30
Santiago de Chile 8500 6700 41
São Paulo 4800 4400 39
Seoul 24500 18800 53
Shanghai 7600 6500 42
Sofia 10900 8500 43
Stockholm 41700 31600 40
Sydney 36800 32900 39
Taipei 14800 13700 42
Tallinn 13600 10700 40
Tel Aviv 19700 16400 43
Tokyo 44700 32200 42
Toronto 37400 26200 40
Vienna 32600 24100 40
Vilnius 8000 6300 40
Warsaw 7600 5600 40
Zurich 58900 46600 42



Income: financial analysts
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 66700 40900 37
Athens 34400 24900 40
Auckland 64900 50000 42
Bangkok 19400 17000 43
Barcelona 58300 41200 40
Beijing 19800 15700 41
Berlin 81700 49100 45
Bogotá 31900 24200 40
Bratislava 48300 35600 42
Brussels 78200 38200 38
Bucharest 13200 9200 40
Budapest 29300 19000 40
Buenos Aires 15400 12700 40
Cairo 10900 9200 39
Caracas 12400 11700 40
Chicago 103500 75900 40
Copenhagen 109200 58500 42
Delhi 14100 10900 43
Doha 23100 23100 40
Dubai 80000 80000 44
Dublin 85000 51300 39
Frankfurt 104100 58400 39
Geneva 171100 115400 41
Helsinki 74500 47300 37
Hong Kong 62600 54000 43
Istanbul 33500 26400 43
Jakarta 15800 11100 40
Johannesburg 65900 44900 40
Kiev 13300 10900 40
Kuala Lumpur 22700 17200 40
Lima 29400 22500 40
Lisbon 63100 39900 35
Ljubljana 27800 17700 40
London 64200 47500 40
Los Angeles 80300 54300 44
Luxembourg 89400 59300 40
Lyon 100900 79800 48
Madrid 65100 47500 39
Manama 27800 27600 43
Manila 9700 8000 40
Mexico City 28000 23600 44
Miami 71500 55800 40
Milan 58700 37900 39
Montreal 56300 37000 39
Moscow 46100 40500 40
Mumbai 18000 14500 48
Munich 105900 57900 40
Nairobi 14200 10200 43
New York 120600 91800 45
Nicosia 107000 82800 39
Oslo 144000 86900 50
Paris 86900 57900 35
Prague 21900 16300 40
Riga 33000 22300 40
Rio de Janeiro 70300 53100 43
Rome 94500 54700 43
Santiago de Chile 30600 10600 41
São Paulo 19900 15200 40
Seoul 130800 123600 43
Shanghai 53200 34700 40
Sofia 21900 17200 40
Stockholm 83400 56100 39
Sydney 110300 79900 40
Taipei 36000 32200 42
Tallinn 27800 21500 40
Tel Aviv 83000 51300 42
Tokyo 144000 108000 48
Toronto 74600 49500 53
Vienna 72500 44900 44
Vilnius 38500 29300 40
Warsaw 24900 16600 40
Zurich 140400 98400 42



Income: engineers
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 64600 41800 39
Athens 34100 25100 40
Auckland 56300 44200 42
Bangkok 24600 21500 43
Barcelona 43100 33000 40
Beijing 10700 8800 40
Berlin 72100 47400 39
Bogotá 19700 17200 40
Bratislava 22800 17100 42
Brussels 67100 35600 38
Bucharest 11400 8200 43
Budapest 23300 15400 40
Buenos Aires 19200 15700 40
Cairo 9600 8000 48
Caracas 22800 21000 40
Chicago 88200 65400 40
Copenhagen 89200 51800 37
Delhi 9600 7900 46
Doha 32900 32900 48
Dubai 64800 64800 48
Dublin 54300 42300 36
Frankfurt 77700 51700 40
Geneva 89400 67500 40
Helsinki 69200 44900 39
Hong Kong 44600 39900 45
Istanbul 34100 26300 47
Jakarta 10700 9800 36
Johannesburg 74900 46200 40
Kiev 6700 5400 40
Kuala Lumpur 23600 18000 40
Lima 24300 19700 48
Lisbon 36100 24300 37
Ljubljana 35000 23700 40
London 65900 48200 40
Los Angeles 90500 64000 40
Luxembourg 66800 57000 40
Lyon 45100 34200 38
Madrid 52700 38300 41
Manama 34400 34400 40
Manila 9800 7300 43
Mexico City 13600 11500 48
Miami 95100 66200 40
Milan 57900 37400 39
Montreal 61600 40300 39
Moscow 25500 22400 41
Mumbai 15400 14000 54
Munich 79500 50900 41
Nairobi 21000 16400 45
New York 107400 80300 46
Nicosia 47700 40400 39
Oslo 79400 51000 39
Paris 67100 47800 35
Prague 21000 17100 40
Riga 16800 11700 40
Rio de Janeiro 37600 23100 39
Rome 28000 21100 42
Santiago de Chile 32000 21000 44
São Paulo 28200 20700 38
Seoul 82900 47100 43
Shanghai 15800 13000 40
Sofia 10400 7800 43
Stockholm 72500 50600 40
Sydney 79000 60400 40
Taipei 29300 26400 42
Tallinn 27300 21200 40
Tel Aviv 56200 40400 41
Tokyo 77200 58500 44
Toronto 84800 51700 38
Vienna 69800 43800 43
Vilnius 16600 12700 40
Warsaw 17900 12700 40
Zurich 115700 91700 41



Income: cooks
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 39800 27800 39
Athens 24200 18300 43
Auckland 31100 26000 42
Bangkok 10900 10400 54
Barcelona 32100 25000 42
Beijing 11900 9700 40
Berlin 57600 38600 44
Bogotá 11900 10700 40
Bratislava 18900 14200 42
Brussels 43600 24600 38
Bucharest 14900 10500 40
Budapest 16800 11300 44
Buenos Aires 15800 13100 40
Cairo 48800 41400 60
Caracas 25400 20700 40
Chicago 48300 36900 43
Copenhagen 61000 36100 38
Delhi 10200 8700 54
Doha 13700 13700 51
Dubai 58100 58100 48
Dublin 42100 32400 36
Frankfurt 40000 26900 40
Geneva 76500 56700 45
Helsinki 41200 30300 36
Hong Kong 40800 36000 58
Istanbul 51300 40900 48
Jakarta 4400 3800 51
Johannesburg 18000 14500 45
Kiev 10500 8500 37
Kuala Lumpur 17100 12800 47
Lima 12200 10200 48
Lisbon 33700 24300 40
Ljubljana 28000 18100 40
London 36400 27300 41
Los Angeles 51900 35400 41
Luxembourg 35500 29000 40
Lyon 43500 34300 38
Madrid 35900 27600 40
Manama 11500 11500 56
Manila 8900 8000 48
Mexico City 19800 16200 49
Miami 46200 36500 40
Milan 51000 33300 43
Montreal 44600 29700 39
Moscow 30300 26700 41
Mumbai 7900 6100 51
Munich 55200 33800 45
Nairobi 16200 12300 48
New York 85500 67300 43
Nicosia 52700 49000 40
Oslo 59800 38300 39
Paris 36800 26800 40
Prague 17100 13100 40
Riga 14400 10000 40
Rio de Janeiro 21200 17400 44
Rome 74200 44800 54
Santiago de Chile 12300 9700 43
São Paulo 25500 12600 44
Seoul 69800 47300 52
Shanghai 23700 17900 45
Sofia 11100 8400 45
Stockholm 45800 34400 40
Sydney 55900 45200 39
Taipei 41300 40100 49
Tallinn 21400 16700 40
Tel Aviv 33500 25400 48
Tokyo 70200 55900 46
Toronto 53000 40100 42
Vienna 49000 32900 43
Vilnius 21900 14400 40
Warsaw 20500 14500 40
Zurich 69900 57500 42



Income: bank credit clerks
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 49200 32000 36
Athens 30700 22700 40
Auckland 37300 32200 40
Bangkok 14500 13900 45
Barcelona 38900 30200 38
Beijing 18300 11800 40
Berlin 51700 36100 39
Bogotá 14600 13100 40
Bratislava 15800 12000 42
Brussels 56900 36000 38
Bucharest 8800 6200 40
Budapest 21400 14000 42
Buenos Aires 17100 14600 40
Cairo 3200 2800 45
Caracas 15800 14400 40
Chicago 40300 31000 40
Copenhagen 72900 44600 38
Delhi 6700 6000 44
Doha 27100 27100 44
Dubai 26200 26200 44
Dublin 45800 37800 36
Frankfurt 61600 43000 39
Geneva 110900 76500 40
Helsinki 44700 32100 37
Hong Kong 22300 21000 43
Istanbul 19300 14900 40
Jakarta 5300 5100 40
Johannesburg 11900 9700 40
Kiev 10000 8200 40
Kuala Lumpur 11400 9700 40
Lima 10100 8700 42
Lisbon 32400 23300 35
Ljubljana 23400 17000 40
London 46600 35500 39
Los Angeles 46100 34400 40
Luxembourg 93900 76300 40
Lyon 55200 41700 38
Madrid 53500 40000 37
Manama 15000 14900 40
Manila 3500 2600 40
Mexico City 7100 6600 44
Miami 49300 39600 40
Milan 43500 30000 38
Montreal 58900 41700 37
Moscow 19200 16800 40
Mumbai 7500 5800 40
Munich 78200 50400 40
Nairobi 7500 5800 45
New York 68400 53000 41
Nicosia 45600 38200 35
Oslo 69300 44600 39
Paris 80700 56200 35
Prague 20100 15500 40
Riga 18900 12700 40
Rio de Janeiro 10900 9100 43
Rome 34300 24900 40
Santiago de Chile 21600 16600 41
São Paulo 14600 12700 35
Seoul 34100 26200 43
Shanghai 28900 20700 40
Sofia 10700 8200 40
Stockholm 48600 36300 39
Sydney 52200 42900 40
Taipei 20600 18800 42
Tallinn 11800 9500 40
Tel Aviv 28900 23100 41
Tokyo 79400 60400 44
Toronto 32900 24500 36
Vienna 49100 33700 39
Vilnius 20200 15400 40
Warsaw 11900 8500 40
Zurich 96900 76300 42



Income: product managers
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 58700 36900 38
Athens 44000 30300 40
Auckland 55000 43500 42
Bangkok 22400 20100 43
Barcelona 67000 47300 40
Beijing 11700 9500 40
Berlin 74500 45500 40
Bogotá 65800 27700 40
Bratislava 43300 32500 42
Brussels 73700 39000 38
Bucharest 22000 15500 40
Budapest 21100 13900 46
Buenos Aires 17600 14600 40
Cairo 20500 17400 58
Caracas 30600 25500 40
Chicago 88500 67900 38
Copenhagen 94500 51800 40
Delhi 11100 8900 43
Doha 47000 47000 45
Dubai 91400 91400 44
Dublin 86100 61300 37
Frankfurt 77700 49700 41
Geneva 113300 82200 40
Helsinki 60500 40400 39
Hong Kong 63700 56200 47
Istanbul 39100 29000 45
Jakarta 13000 11400 43
Johannesburg 36800 28100 40
Kiev 14100 11800 40
Kuala Lumpur 31200 22700 40
Lima 40700 29900 44
Lisbon 35200 24500 37
Ljubljana 41700 24900 40
London 75000 52100 40
Los Angeles 69200 52200 41
Luxembourg 58300 48700 40
Lyon 70600 55000 43
Madrid 63500 46000 40
Manama 33700 33500 40
Manila 18800 13600 40
Mexico City 21200 17400 49
Miami 101500 68500 40
Milan 60400 38700 39
Montreal 65100 42200 36
Moscow 29500 25900 40
Mumbai 21100 16300 45
Munich 115500 65400 42
Nairobi 16600 11900 41
New York 119300 90400 47
Nicosia 48600 40700 40
Oslo 97400 47300 39
Paris 71100 48400 35
Prague 25300 18600 40
Riga 30400 20500 40
Rio de Janeiro 33300 24700 43
Rome 65100 39200 43
Santiago de Chile 36700 26500 41
São Paulo 67000 50400 41
Seoul 52300 35500 45
Shanghai 24700 18400 41
Sofia 15200 11400 43
Stockholm 81900 52200 40
Sydney 93400 69500 40
Taipei 44400 39000 42
Tallinn 16600 13100 40
Tel Aviv 56200 37600 43
Tokyo 102100 79400 45
Toronto 47300 33200 40
Vienna 82900 50900 43
Vilnius 18500 14600 40
Warsaw 27600 19400 40
Zurich 130000 94200 41



Income: personal assistants
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 40300 29000 38
Athens 21000 16200 40
Auckland 33400 28000 40
Bangkok 7800 7500 47
Barcelona 28900 22300 40
Beijing 17100 14100 42
Berlin 38100 26500 40
Bogotá 12300 11100 40
Bratislava 16100 12200 41
Brussels 42300 24200 38
Bucharest 6000 4300 40
Budapest 11100 7800 40
Buenos Aires 15800 13200 40
Cairo 6200 5200 45
Caracas 8400 7900 40
Chicago 42600 31700 39
Copenhagen 61900 36500 38
Delhi 5400 4400 44
Doha 19800 19800 40
Dubai 22900 22900 44
Dublin 31700 25600 36
Frankfurt 50600 32900 39
Geneva 64900 49100 40
Helsinki 38600 28800 38
Hong Kong 25100 22400 44
Istanbul 13500 10600 45
Jakarta 4800 4400 43
Johannesburg 22400 16700 40
Kiev 4900 4000 40
Kuala Lumpur 13200 10700 40
Lima 18900 15200 40
Lisbon 17500 14200 37
Ljubljana 16300 11300 40
London 40700 30300 39
Los Angeles 44900 30600 41
Luxembourg 45700 36400 40
Lyon 26000 19900 35
Madrid 26900 22100 39
Manama 15300 15300 44
Manila 4000 3200 48
Mexico City 15500 13200 47
Miami 46800 36500 39
Milan 32000 22400 39
Montreal 40800 27300 37
Moscow 16800 14800 40
Mumbai 3800 3200 49
Munich 50100 31500 42
Nairobi 4300 3200 42
New York 54800 42100 43
Nicosia 23100 20600 40
Oslo 64900 41700 39
Paris 34700 25500 35
Prague 13200 10400 40
Riga 13700 9300 40
Rio de Janeiro 10700 9700 43
Rome 34800 23700 40
Santiago de Chile 11300 8900 41
São Paulo 13900 12400 40
Seoul 27100 20900 43
Shanghai 12300 10700 40
Sofia 7400 5600 40
Stockholm 41100 31100 40
Sydney 50500 41800 40
Taipei 15500 14400 42
Tallinn 14200 11300 40
Tel Aviv 18400 15500 42
Tokyo 48800 36000 42
Toronto 26300 19200 38
Vienna 49900 33800 40
Vilnius 10400 7900 40
Warsaw 11700 8300 40
Zurich 71100 54300 42



Income: female sales assistants
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 31100 23200 38
Athens 17700 14000 42
Auckland 26900 22700 40
Bangkok 6000 5800 46
Barcelona 25500 19400 40
Beijing 8900 7100 40
Berlin 28200 19900 35
Bogotá 7400 6900 45
Bratislava 9600 7600 42
Brussels 35200 21800 38
Bucharest 8200 6000 40
Budapest 8200 5600 43
Buenos Aires 14600 12200 40
Cairo 5400 4700 51
Caracas 9500 9100 40
Chicago 23200 17100 31
Copenhagen 46000 28200 38
Delhi 3000 2700 47
Doha 10900 10900 48
Dubai 13600 13600 48
Dublin 25300 20700 36
Frankfurt 37900 26200 38
Geneva 49200 37800 43
Helsinki 34600 26500 37
Hong Kong 22100 20100 52
Istanbul 9500 7800 45
Jakarta 2700 2600 41
Johannesburg 10500 8500 45
Kiev 4100 3400 43
Kuala Lumpur 7400 6300 40
Lima 6700 6000 48
Lisbon 15000 12400 37
Ljubljana 12800 9100 40
London 26300 20500 38
Los Angeles 36500 24900 40
Luxembourg 28500 24100 40
Lyon 22500 17900 35
Madrid 17500 14500 40
Manama 19900 19900 45
Manila 3100 2700 50
Mexico City 4800 4400 47
Miami 30700 24500 39
Milan 29700 20900 36
Montreal 25900 17600 36
Moscow 12200 10600 41
Mumbai 2700 2300 46
Munich 40300 26000 40
Nairobi 3400 2700 49
New York 42300 33400 39
Nicosia 20200 17900 40
Oslo 49500 31900 39
Paris 25300 19000 35
Prague 12200 9600 40
Riga 8700 6200 40
Rio de Janeiro 6600 6100 44
Rome 22100 16200 40
Santiago de Chile 8200 6500 45
São Paulo 8700 6900 44
Seoul 21800 17400 55
Shanghai 7400 6100 40
Sofia 7400 5600 40
Stockholm 37400 28500 40
Sydney 40400 33500 40
Taipei 12700 11700 42
Tallinn 8800 7300 40
Tel Aviv 12300 10600 36
Tokyo 35100 26000 43
Toronto 28000 22700 39
Vienna 30000 23100 39
Vilnius 6500 5100 40
Warsaw 11000 7900 40
Zurich 61400 48200 41



Income: primary school teachers
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 48400 32600 39
Athens 26200 19400 30
Auckland 35700 30300 40
Bangkok 8300 8000 43
Barcelona 41300 31300 38
Beijing 11400 9100 40
Berlin 56900 39800 40
Bogotá 11100 10200 43
Bratislava 11300 8900 41
Brussels 44000 26700 38
Bucharest 5600 4000 40
Budapest 8900 7100 40
Buenos Aires 8700 7100 40
Cairo 1600 1300 36
Caracas 10500 9800 36
Chicago 49300 38500 39
Copenhagen 86500 52200 38
Delhi 4500 3900 41
Doha 22300 22300 47
Dubai 35900 35900 37
Dublin 57100 45700 32
Frankfurt 60900 46100 39
Geneva 89600 66700 36
Helsinki 48000 33800 37
Hong Kong 52500 47800 44
Istanbul 14800 11000 40
Jakarta 2700 2600 43
Johannesburg 17700 14400 40
Kiev 3800 3500 32
Kuala Lumpur 10400 8700 35
Lima 6300 5300 44
Lisbon 32000 23100 31
Ljubljana 29000 20500 40
London 55700 39800 36
Los Angeles 55700 46600 38
Luxembourg 113300 88200 26
Lyon 33900 26700 35
Madrid 29100 22800 28
Manama 19800 19600 40
Manila 3400 2300 43
Mexico City 8400 7400 40
Miami 63500 51700 43
Milan 32800 21800 23
Montreal 56700 38500 35
Moscow 11900 10500 40
Mumbai 3800 3500 36
Munich 51200 38500 40
Nairobi 4000 3200 45
New York 62900 50400 43
Nicosia 47400 40800 33
Oslo 61500 39500 36
Paris 38700 29500 31
Prague 13200 10700 40
Riga 8400 6000 40
Rio de Janeiro 13700 12200 40
Rome 30600 22100 25
Santiago de Chile 15400 12300 38
São Paulo 10600 9500 33
Seoul 65400 44300 43
Shanghai 12200 10100 40
Sofia 4700 3500 34
Stockholm 46600 34800 40
Sydney 57400 46200 39
Taipei 25600 23100 42
Tallinn 11400 9200 35
Tel Aviv 20700 17700 40
Tokyo 78200 59800 44
Toronto 82900 49900 38
Vienna 44700 31900 39
Vilnius 10500 8000 38
Warsaw 11900 8500 25
Zurich 104600 81600 42

